Case.Number,OBJECTID,Part,Description,zoning_old,zoning_new,acres,n_sfd,n_sfa,n_mfd,n_unknown,n_affordable,n_age_restrict
REZ2019-00018,75391,,"QUARTZ DISTRICT -  TO REZONE 145.053 ACRES FROM A-1, AGRICULTURAL, O(H), OFFICE HIGH-RISE, AND R-2, SUBURBAN RESIDENTIAL, TO PMR, PLANNED MIXED RESIDENTIAL, AND PMD, PLANNED MIXED USE DISTRICT, WITH ASSOCIATED WAIVERS/MODIFICATIONS, INCLUDING USE AND HEIGHT MODIFICATIONS.  THE PROPOSED MIXED-USE PROJECT WILL GENERALLY INCLUDE A COMMERCIAL CENTER (300,000 SQUARE FEET OF RETAIL/COMMERCIAL AND OFFICE USES); UP TO 1,015 RESIDENTIAL UNITS (TOWNHOUSE AND MULTI-FAMILY); VARIOUS ACCESS AND PEDESTRIAN IMPROVEMENTS; AND PUBLIC USE AND OPEN SPACE AREAS.  THE SUBJECT PROPERTY IS LOCATED AT THE NORTHWESTERN QUADRANT OF THE INTERSECTION OF PRINCE WILLIAM PARKWAY AND MINNIEVILLE ROAD; IS CURRENTLY ADDRESSED AS 13930, 13920, AND 13804 MINNIEVILLE ROAD; AND IS IDENTIFIED ON COUNTY MAPS AS GPINS 8192-74-5435, 8192-83-4108, AND 8192-93-1868, RESPECTIVELY.  THE SITE IS DESIGNATED O, OFFICE; SRH, SUBURBAN RESIDENTIAL HIGH; AND ER, ENVIRONMENTAL RESOURCE, IN THE COMPREHENSIVE PLAN; IS LOCATED WITHIN THE DALE CITY SMALL AREA PLAN; AND IS PARTIALLY LOCATED WITHIN THE PRINCE WILLIAM PARKWAY AND MINNIEVILLE ROAD HIGHWAY CORRIDOR OVERLAY DISTRICTS.  NEABSCO MAGISTERIAL DISTRICT 
SUBJECT TO THE 2016 PROFFER LEGISLATION, AS PER VIRGINIA STATE CODE SECTION 15.2-2303.4, SINCE IT WAS FILED AFTER JULY 1, 2016.","A-1, O(H), R-2",PMR,,,,,,,
REZ2019-00020,1057,,"TO REZONE A 1.45-ACRE SITE FROM O(L), LOW-RISE OFFICE, AND R-4, SUBURBAN RESIDENTIAL, TO B-1, GENERAL BUSINESS DISTRICT. THE PARCELS ARE ADDRESSED 1215 SWAN POINT RD., AND 1300 AND 1302 DEVILS REACH RD., WHICH ABUTS THE INTERSECTION OF SWAN POINT RD. AND DEVILS REACH RD. THE SITE IS DESIGNATED GC, GENERAL COMMERCIAL, AND SRL, SUBURBAN RESIDENTIAL LOW, IN COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE GORDON BOULEVARD (RT.123) HIGHWAY CORRIDOR OVERLAY DISTRICT (HCOD). THE CASE IS BEING CONCURRENTLY PROCESSED WITH #SUP2019-00033. OCCOQUAN MAGISTERIAL DISTRICT","O(L), R-4",B-1,1.45,,,,,,
REZ2019-00021,63032,,"BETHLEHEM CONTRACTORS OFFICE REZONING - THIS IS A REQUEST TO REZONE 5.47 ACRES FROM A-1, AGRICULTURAL AND O(M) OFFICE MID-RISE, TO M-1, HEAVY INDUSTRIAL. THE SITE IS LOCATED APPROXIMATELY 650 FEET NORTH OF THE INTERSECTION OF BETHLEHEM ROAD AND BURRELL LANE AND IS ADDRESSED 7714 AND 7720 BETHLEHEM ROAD. THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPIN 7597-81-1147 AND 7597-81-3244; IS LOCATED IN THE DATA CENTER OPPORTUNITY AND THE AIRPORT SAFETY OVERLAY DISTRICTS; AND IS DESIGNATED FEC, FLEXIBLE EMPLOYMENT CENTER IN THE COMPREHENSIVE PLAN. GAINESVILLE MAGISTERIAL DISTRICT.","A-1, O(M)",M-1,5.47,,,,,,
REZ2019-00023,1748,,"WELLINGTON ROAD WI-NOT STOP REZONE - TO REZONE A 0.9 ACRE SITE FROM A-1, AGRICULTURAL, TO B-1, GENERAL BUSINESS, AND MODIFY PROFFERS ON THE OVERALL 2.11-ACRE SITE TO ALLOW THE RENOVATION AND EXPANSION OF AN EXISTING MOTOR VEHICLE FUEL STATION. THE APPLICATION ALSO INCLUDES A MODIFICATION OF THE USE RESTRICTIONS IN THE TECHNOLOGY OVERLAY DISTRICT (TEOD) TO ALLOW THE MOTOR VEHICLE FUEL USE. THE SITE IS ADDRESSED AS 9053 AND 9033 WELLINGTON ROAD; IS LOCATED NORTHWEST OF THE INTERSECTION OF WELLINGTON ROAD AND RIXLEW LANE; IS ZONED A-1 AND B-1; AND IS DESIGNATED REC, REGIONAL EMPLOYMENT CENTER, IN THE COMPREHENSIVE PLAN. THE PROPERTY IS IDENTIFIED ON COUNTY MAPS AS GPINS 7696-51-8794 AND 7696-61-1189. THE SUBJECT SITE IS LOCATED WITHIN DATA CENTER OPPORTUNITY OVERLAY, AIRPORT SAFETY OVERLAY, AND TECHNOLOGY OVERLAY DISTRICTS AND IS IN THE INNOVATION SECTOR PLAN.  BRENTSVILLE MAGISTERIAL DISTRICT.",A-1,B-1,0.9,,,,,,
REZ2019-00027,59631,,"NAWAZ, LLC - AUTO TRADEMARK - TO REZONE 4.38 ACRES FROM M-1, HEAVY INDUSTRIAL, AND B-1, GENERAL BUSINESS, TO B-1, GENERAL BUSINESS.  THIS REZONING REQUEST IS BEING CONCURRENTLY PROCESSED WITH #SUP2019-00040, WHICH IS A SPECIAL USE PERMIT REQUEST TO ALLOW FOR MOTOR VEHICLE SALES (LIMITED).  THE SITE IS LOCATED APPROXIMATELY 400 FEET NORTH OF THE INTERSECTION OF CENTREVILLE ROAD AND LELAND ROAD ALONG SOUTHBOUND CENTREVILLE ROAD, AND TO THE EAST OF WELL STREET.  THE SUBJECT PROPERTIES ARE CURRENTLY ADDRESSED 7614 CENTREVILLE ROAD, AND 7707 AND 7709 WELL STREET.  THE PROJECT SITE IS IDENTIFIED ON COUNTY MAPS AS GPINS 7897-11-9369, 7897-11-9482, 7897-21-3391.  THE SITE IS DESIGNATED GC, GENERAL COMMERCIAL, IN COMPREHENSIVE PLAN, AND IS LOCATED WITHIN THE YORKSHIRE STUDY AREA.  COLES MAGISTERIAL DISTRICT","M-1, B-1",B-1,4.38,,,,,,
REZ2019-00029,67320,,"LELAND ROAD REZONING - THIS IS A REQUEST TO REZONE 1.72 ACRES FROM B-1, GENERAL BUSINESS TO R-4, SUBURBAN RESIDENTIAL TO ALLOW THE CONSTRUCTION OF TWO SINGLE FAMILY DETACHED HOMES.  THE PROPERTY IS LOCATED APPROXIMATELY 500 FEET EAST OF THE INTERSECTION OF LELAND ROAD AND ROUTE 28 AND IS CURRENTLY ADDRESSED 8110 LELAND ROAD. THE SUBJECT SITE IS IDENTIFIED ON COUNTY MAPS AS GPIN: 7897-31-2163; IS SPLIT-ZONED B-1, GENERAL BUSINESS AND R-4, SUBURBAN RESIDENTIAL; AND IS DESIGNATED SRL, SUBURBAN RESIDENTIAL LOW, IN THE COMPREHENSIVE PLAN.  COLES MAGISTERIAL DISTRICT. 
ZONING REQUEST SUBJECT TO SB549",B-1,R-4,1.72,2,,,,,
REZ2019-00034,1005,,"YOUTH FOR TOMORROW -  TO REZONE 181.6085 ACRES FROM A-1, AGRICULTURAL, AND R-4, SUBURBAN RESIDENTIAL, TO PBD, PLANNED BUSINESS DISTRICT, ALONG WITH ASSOCIATED MODIFICATIONS AND WAIVERS, TO EXPAND THE CURRENT YOUTH FOR TOMORROW CAMPUS AND TO ALLOW FOR THE DEVELOPMENT OF A DATA CENTER FACILITY.  THE SUBJECT PROPERTY IS LOCATED NORTHEAST OF THE INTERSECTION OF LINTON HALL ROAD AND HAZEL CIRCLE DRIVE;  APPROXIMATELY 1,300 FEET NORTH OF LINTON HALL ROAD AND ROUTE 28 (NOKESVILLE ROAD); AND WEST OF BROAD RUN.  THE SITE IS DESIGNATED SRL, SUBURBAN RESIDENTIAL LOW, SRM, SUBURBAN RESIDENTIAL MEDIUM, AND ER, ENVIRONMENTAL RESOURCE, IN THE COMPREHENSIVE PLAN, AND IS LOCATED WITHIN THE AIRPORT SAFETY OVERLAY DISTRICT.  BRENTSVILLE MAGISTERIAL DISTRICT","A-1, R-4",PBD,181.61,,,,,,
REZ2019-00034,75400,,"YOUTH FOR TOMORROW -  TO REZONE 181.6085 ACRES FROM A-1, AGRICULTURAL, AND R-4, SUBURBAN RESIDENTIAL, TO PBD, PLANNED BUSINESS DISTRICT, ALONG WITH ASSOCIATED MODIFICATIONS AND WAIVERS, TO EXPAND THE CURRENT YOUTH FOR TOMORROW CAMPUS AND TO ALLOW FOR THE DEVELOPMENT OF A DATA CENTER FACILITY.  THE SUBJECT PROPERTY IS LOCATED NORTHEAST OF THE INTERSECTION OF LINTON HALL ROAD AND HAZEL CIRCLE DRIVE;  APPROXIMATELY 1,300 FEET NORTH OF LINTON HALL ROAD AND ROUTE 28 (NOKESVILLE ROAD); AND WEST OF BROAD RUN.  THE SITE IS DESIGNATED SRL, SUBURBAN RESIDENTIAL LOW, SRM, SUBURBAN RESIDENTIAL MEDIUM, AND ER, ENVIRONMENTAL RESOURCE, IN THE COMPREHENSIVE PLAN, AND IS LOCATED WITHIN THE AIRPORT SAFETY OVERLAY DISTRICT.  BRENTSVILLE MAGISTERIAL DISTRICT","A-1, R-4",PBD,,,,,,,
REZ2019-00034,75402,,"YOUTH FOR TOMORROW -  TO REZONE 181.6085 ACRES FROM A-1, AGRICULTURAL, AND R-4, SUBURBAN RESIDENTIAL, TO PBD, PLANNED BUSINESS DISTRICT, ALONG WITH ASSOCIATED MODIFICATIONS AND WAIVERS, TO EXPAND THE CURRENT YOUTH FOR TOMORROW CAMPUS AND TO ALLOW FOR THE DEVELOPMENT OF A DATA CENTER FACILITY.  THE SUBJECT PROPERTY IS LOCATED NORTHEAST OF THE INTERSECTION OF LINTON HALL ROAD AND HAZEL CIRCLE DRIVE;  APPROXIMATELY 1,300 FEET NORTH OF LINTON HALL ROAD AND ROUTE 28 (NOKESVILLE ROAD); AND WEST OF BROAD RUN.  THE SITE IS DESIGNATED SRL, SUBURBAN RESIDENTIAL LOW, SRM, SUBURBAN RESIDENTIAL MEDIUM, AND ER, ENVIRONMENTAL RESOURCE, IN THE COMPREHENSIVE PLAN, AND IS LOCATED WITHIN THE AIRPORT SAFETY OVERLAY DISTRICT.  BRENTSVILLE MAGISTERIAL DISTRICT","A-1, R-4",PBD,,,,,,,
REZ2019-00036,1472,,"BAYSHORE MOVING & STORAGE IS A REQUEST O REZONE AN 8.5-ACRE SITE FROM A-1, AGRICULTURAL, AND M-2, LIGHT INDUSTRIAL, TO M-2, AND MODIFY USE RESTRICTIONS IN THE TECHNOLOGY OVERLAY DISTRICT (TEOD).","A-1, M-2",M-2,8.5,,,,,,
REZ2019-00037,64764,,"FALLING CREEK DRIVE - TO REZONE A 2.7207 ACRE SITE FROM B-1, GENERAL BUSINESS TO SR-1, SEMI-RURAL RESIDENTIAL, TO ALLOW  FOR THE EXISTING SINGLE-FAMILY HOME ON THE PROPERTY TO REMAIN. ",B-1,SR-1,2.72,0,,,,,
REZ2019-00038,70196,,"3716 PENNINGTON LANE - TO REZONE  6.84 ACRES FROM A-1, AGRICULTURAL, TO R-4, SUBURBAN RESIDENTIAL, TO ALLOW FOR THE DEVELOPMENT OF 5 ADDITIONAL SINGLE-FAMILY DETACHED DWELLING UNITS.  THE ABOVE NOTED REZONING SHALL BE CONCURRENTLY PROCESSED WITH #SUP2019-00045, TO ALLOW FOR FRONTAGE ON A PRIVATE ROAD.  THE SITE IS LOCATED ON THE EAST SIDE OF PENNINGTON LANE, 760 FT. EAST/SOUTHEAST OF ITS INTERSECTION WITH ROUTE 294 AND 887 FT. NORTH/NORTHWEST OF ITS INTERSECTION WITH ELM FARM RD. THE PROPERTY IS IDENTIFIED ON COUNTY MAPS AS GPIN: 8192-86-8788, AND IS DESIGNATED AS SRL, SUBURBAN RESIDENTIAL LOW, IN THE COMPREHENSIVE PLAN. A SMALL PORTION OF THE SITE, IS LOCATED WITHIN THE MINNIEVILLE ROAD (DAVIS FORD ROAD) HIGHWAY CORRIDOR OVERLAY DISTRICT (HCOD). OCCOQUAN MAGISTERIAL DISTRICT.

SUBJECT TO SB549",A-1,R-4,6.84,5,,,,,
REZ2019-00039,67321,,"ASHLEY BUSINESS PARK - TO REZONE 1.236 ACRES FROM M-2, LIGHT INDUSTRIAL, TO M/T, INDUSTRIAL/TRANSPORTATION.",M-2,M/T,1.24,,,,,,
REZ2020-00003,56444,,"ECO-NIZE COMMERCIAL - THIS IS A REQUEST TO REZONE APPROXIMATELY 1.10 ACRES FROM O(L), LOW-RISE OFFICE TO B-1, GENERAL COMMERCIAL, TO ALLOW THE CONSTRUCTION OF GENERAL COMMERCIAL USE. THE PROPERTY IS LOCATED AT 14809 LEE HIGHWAY, APPROXIMATELY .096 MILES WEST OF THE ROUTE 29 AND BALTUSROL BLVD. INTERSECTION. THE PROPERTY IS IDENTIFIED ON COUNTY MAPS AS GPIN: 7397-01-2696. THE SITE IS ZONED O(L), LOW RISE, AND IS DESIGNATED CEC, COMMUNITY EMPLOYMENT CENTER, IN THE COMPREHENSIVE PLAN. THE PROPERTY IS LOCATED IN THE LEE HWY HIGHWAY CORRIDOR OVERLAY DISTRICT (HCOD) AND SPECIAL PLAN AREA I-66/ROUTE 29. BRENTSVILLE MAGISTERIAL DISTRICT.",O(L),B-1,1.1,,,,,,
REZ2020-00005,74381,,"CENTRE AT HAYMARKET - THIS IS A REQUEST TO REZONE 8.5472 ACRES FROM A-1, AGRICULTURAL TO O(M) OFFICE MID-RISE. THE SITE IS LOCATED AT 15600 JOHN MARSHALL HIGHWAY, WHICH IS LOCATED AT THE INTERSECTION OF JOHN MARSHALL HIGHWAY AND ANTIOCH ROAD. THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPIN 7298-32-4095; AND IS DESIGNATED CEC, COMMUNITY EMPLOYMENT CENTER IN THE COMPREHENSIVE PLAN. GAINESVILLE MAGISTERIAL DISTRICT.",A-1,O(M),8.5472,,,,,,
REZ2020-00006,68965,,"LAKE RIDGE NURSERY IS A REQUEST TO REZONE 3.43 ACRES FROM A-1, AGRICULTURAL TO B-2, NEIGHBORHOOD BUSINESS.  THE SUBJECT PROPERTY IS LOCATED ON THE SOUTH SIDE OF OLD BRIDGE ROAD AT THE INTERSECTION OF OLD BRIDGE ROAD AND SPRINGWOODS DRIVE. THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPIN 8193-92-0448.  THE SITE IS DESIGNATED SRL, SUBURBAN RESIDENTIAL LOW, IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE HIGHWAY CORRIDOR OVERLAY DISTRICT. OCCOQUAN MAGISTERIAL DISTRICT. CONCURRENT WITH CPA2019-00002.",A-1,B-2,3.43,,,,,,
REZ2020-00010,70618,,"11951 SUDLEY MANOR DRIVE - THIS IS A REQUEST TO REZONE APPROXIMATELY 53.9884 ACRES FROM A-1, AGRICULTURAL TO PBD, PLANNED BUSINESS DISTRICT, TO ALLOW FOR O(F), OFFICE FLEX AND M-2, LIGHT INDUSTRIAL USES. THE PROPERTY IS LOCATED AT 11951 SUDLEY MANOR DRIVE, APPROXIMATELY 585 FEET FROM THE INTERSECTION OF SUDLEY MANOR DRIVE AND UNIVERSITY BLVD., AND APPROXIMATELY 654 FEET FROM THE INTERSECTION OF SUDLEY MANOR DRIVE AND WELLINGTON RD. THE PROPERTY IS IDENTIFIED ON COUNTY MAPS AS GPIN: 7596-52-6573(PT.).  THE SITE IS ZONED A-1, AGRICULTURAL AND IS DESIGNATED REC, REGIONAL EMPLOYMENT CENTER AND ER, ENVIRONMENTAL RESOURCE, IN THE COMPREHENSIVE PLAN. THE PROPERTY IS LOCATED IN THE DATA CENTER OPPORTUNITY OVERLAY, AIRPORT SAFETY OVERLAY DISTRICTS AND THE CHESAPEAKE BAY PRESERVATION AREA. BRENTSVILLE MAGISTERIAL DISTRICT.",A-1,PBD,53.99,,,,,,
REZ2020-00011,72297,,"GAINESVILLE TECH PARK -  TO REZONE 136.41 ACRES FROM A-1, AGRICULTURAL, TO M-2, LIGHT INDUSTRIAL, TO DEVELOP FLEX INDUSTRIAL AND DATA CENTER USES ALONG WITH AN ASSOCIATED MODIFICATION FOR INCREASED BUILDING HEIGHT AND SIGNAGE MODIFICATIONS.  THE SUBJECT PROPERTY IS LOCATED AT THE SOUTHWESTERN INTERSECTION OF WELLINGTON ROAD AND DEVLIN ROAD, IS CURRENTLY ADDRESSED AS 8008 DEVLIN ROAD, AND IS IDENTIFIED ON COUNTY MAPS AS GPIN 7496-78-6326.  THE SITE IS DESIGNATED FEC, FLEXIBLE USE EMPLOYMENT CENTER, ER, ENVIRONMENTAL RESOURCE, AND SRL, SUBURBAN RESIDENTIAL LOW, IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE AIRPORT SAFETY OVERLAY DISTRICT AND DATA CENTER OPPORTUNITY OVERLAY DISTRICT.  BRENTSVILLE MAGISTERIAL DISTRICT",A-1,M-2,136.4,,,,,,
REZ2020-00014,56752,,"PREMIER BUSINESS PARK - TO REZONE 32.20 ACRES FROM M-1, HEAVY INDUSTRIAL, TO M/T, INDUSTRIAL/TRANSPORTATION.  THE SUBJECT PROPERTY IS LOCATED AT THE NORTHEASTERN INTERSECTION OF BALLS FORD ROAD AND GROVETON ROAD, AND IS IDENTIFIED ON COUNTY MAPS AS GPINS 7597-33-9464, 7597-34-9104, AND 7597-34-9837.  THE SITE IS DESIGNATED EI, INDUSTRIAL EMPLOYMENT, IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE DATA CENTER OPPORTUNITY OVERLAY DISTRICT AND THE AIRPORT SAFETY OVERLAY DISTRICT.  GAINESVILLE MAGISTERIAL DISTRICT",M-1,M/T,32.2,,,,,,
REZ2020-00015,,,"BROAD RUN INDUSTRIAL PARK - LOT 3 IS A REQUEST TO REZONE 2.00 ACRES FROM M-2, LIGHT INDUSTRIAL, TO M/T, INDUSTRIAL/TRANSPORTATION.  THE SUBJECT PROPERTY IS LOCATED ON THE NORTH SIDE OF THE INTERSECTION AT BALLS FORD ROAD AND HAWKINS DRIVE, AND IS IDENTIFIED ON COUNTY MAPS AS GPIN 7595-58-6956.  THE SITE IS DESIGNATED EI, INDUSTRIAL EMPLOYMENT, IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE DATA CENTER OPPORTUNITY OVERLAY DISTRICT AND THE AIRPORT SAFETY OVERLAY DISTRICT.  BRENTSVILLE MAGISTERIAL DISTRICT",M-2,M/T,2,,,,,,
REZ2020-00016,71495,,"BENEDICTINE SISTERS PROPERTY REZONING - THIS IS A REQUEST TO REZONE THE SUBJECT AREA FROM A-1, AGRICULTURAL AND R-4, SUBURBAN RESIDENTIAL LOW TO PMR, PLANNED MIXED RESIDENTIAL, TO ALLOW FOR THE CONSTRUCTION OF 127 AGE-RESTRICTED SINGLE FAMILY DETACHED AND SINGLE FAMILY ATTACHED RESIDENTIAL UNITS. THE SUBJECT AREA IS LOCATED AT THE NORTHEAST QUADRANT OF THE INTERSECTION OF LINTON HALL ROAD AND SUDLEY MANOR DRIVE. THE PARCELS ARE IDENTIFIED ON COUNTY MAPS AS GPINS: 7495-98-0459, 7595-07-3280 AND 7495-99-3943, AND ARE DESIGNATED ER, ENVIRONMENTAL RESOURCE AND SRL, SUBURBAN RESIDENTIAL LOW, IN THE COMPREHENSIVE PLAN ARE LOCATED IN THE AIRPORT SAFETY OVERLAY DISTRICT. BRENTSVILLE MAGISTERIAL DISTRICT.

THE APPLICATION IS (I) FILED ON/AFTER JULY 1, 2019, (II) SUBMITTED PURSUANT TO VIRGINIA CODE  15.2-2303.4(D)(1), AND (III) INCLUDES SIGNED PROFFERS WHICH CONCLUSIVELY EVIDENCE THAT THE OWNER/APPLICANT DEEMS THESE PROFFERS REASONABLE AND APPROPRIATE.  (WHEN THIS OPTION IS SELECTED, ALL SUBMITTED PROFFERS MUST BE SIGNED.)","A-1, R-4",PMR,,,,,,,127
REZ2020-00016,75339,,"BENEDICTINE SISTERS PROPERTY REZONING - THIS IS A REQUEST TO REZONE THE SUBJECT AREA FROM A-1, AGRICULTURAL AND R-4, SUBURBAN RESIDENTIAL LOW TO PMR, PLANNED MIXED RESIDENTIAL, TO ALLOW FOR THE CONSTRUCTION OF 127 AGE-RESTRICTED SINGLE FAMILY DETACHED AND SINGLE FAMILY ATTACHED RESIDENTIAL UNITS. THE SUBJECT AREA IS LOCATED AT THE NORTHEAST QUADRANT OF THE INTERSECTION OF LINTON HALL ROAD AND SUDLEY MANOR DRIVE. THE PARCELS ARE IDENTIFIED ON COUNTY MAPS AS GPINS: 7495-98-0459, 7595-07-3280 AND 7495-99-3943, AND ARE DESIGNATED ER, ENVIRONMENTAL RESOURCE AND SRL, SUBURBAN RESIDENTIAL LOW, IN THE COMPREHENSIVE PLAN ARE LOCATED IN THE AIRPORT SAFETY OVERLAY DISTRICT. BRENTSVILLE MAGISTERIAL DISTRICT.

THE APPLICATION IS (I) FILED ON/AFTER JULY 1, 2019, (II) SUBMITTED PURSUANT TO VIRGINIA CODE  15.2-2303.4(D)(1), AND (III) INCLUDES SIGNED PROFFERS WHICH CONCLUSIVELY EVIDENCE THAT THE OWNER/APPLICANT DEEMS THESE PROFFERS REASONABLE AND APPROPRIATE.  (WHEN THIS OPTION IS SELECTED, ALL SUBMITTED PROFFERS MUST BE SIGNED.)","A-1, R-4",PMR,,,,,,,
REZ2020-00017,72299,,"REPUBLIC SERVICES MANASSAS FACILITIES - REQUEST TO REZONE 25.2248 ACRES FROM TO M-1, HEAVY INDUSTRIAL TO M/T WITH PROFFERS TO ALLOW A COMPANY WITH A COMMERCIAL VEHICLE SERVICE FACILITY AND RELATED ACCESSORY USES.  THE SUBJECT PROPERTY IS LOCATED NORTHSIDE OF WELLINGTON ROAD 660 FEET WEST OF THE INTERSECTION OF WELLINGTON ROAD AND VULCAN LANE.  THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPINS 7596-94-8048 AND 7596-95-2913.  THE SITE IS ZONED M-1, HEAVY INDUSTRIAL, DESIGNATED REC, REGIONAL EMPLOYMENT CENTER, IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE TECHNOLOGY OVERLAY DISTRICT, TECHNOLOGY OVERLAY SUBDISTRICT, DATA CENTER OPPORTUNITY OVERLAY DISTRICT, AND AIRPORT SAFETY OVERLAY DISTRICT; PART OF THE INNOVATION PARK SECTOR PLAN.  BRENTSVILLE MAGISTERIAL DISTRICT",M-1,M/T,25.22,,,,,,
REZ2020-00018,70211,,"WELLINGTON ROAD LOGISTICS CENTER -  TO REZONE 8.82 ACRES FROM M-1, HEAVY INDUSTRIAL, TO M/T, INDUSTRIAL/TRANSPORTATION.  THE SUBJECT PROPERTY IS LOCATED 1,900 FEET NORTHWEST OF THE INTERSECTION OF WELLINGTON ROAD AND UNIVERSITY BOULEVARD, AND 1,450 FEET NORTHEAST OF THE INTERSECTION OF WELLINGTON CENTER CIRCLE AND WELLINGTON ROAD.  THE PROPERTY IS IDENTIFIED ON COUNTY MAPS AS GPINS 7497-04-8673 AND 7497-14-5061 (PORTION), AND IS CURRENTLY ADDRESSED AS 5533 WELLINGTON ROAD AND 5547 WELLINGTON ROAD, RESPECTIVELY.  THE SITE IS DESIGNATED EI, INDUSTRIAL EMPLOYMENT, IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE DATA CENTER OPPORTUNITY OVERLAY DISTRICT, AIRPORT SAFETY OVERLAY DISTRICT, LEE HIGHWAY (ROUTE 29) HIGHWAY CORRIDOR OVERLAY DISTRICT, AND I-66/ROUTE 29 SECTOR PLAN SPECIAL PLANNING AREA.  BRENTSVILLE MAGISTERIAL DISTRICT",M-1,M/T,8.82,,,,,,
REZ2020-00019,72312,,"QTS - PROJECT HERO EXPANSION -TO REZONE 13.37 ACRES FROM A-1, AGRICULTURAL, TO M-2, LIGHT INDUSTRIAL, TO DEVELOP FLEX INDUSTRIAL AND DATA CENTER USES.  THE SUBJECT PROPERTY IS LOCATED AT THE NORTHWESTERN CORNER OF GODWIN DRIVE AND UNIVERSITY BOULEVARD INTERSECTION, AND IS IDENTIFIED ON COUNTY MAPS AS GPINS 7695-47-4075, 7695-48-5745, 7695-38-5047 AND 7695-58-1389.  THE SITE IS DESIGNATED REC, REGIONAL EMPLOYMENT CENTER, ER, ENVIRONMENTAL RESOURCE, IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE AIRPORT SAFETY OVERLAY DISTRICT, TECHNOLOGY CENTER OVERLAY DISTRICT AND DATA CENTER OPPORTUNITY OVERLAY DISTRICT.  BRENTSVILLE MAGISTERIAL DISTRICT",A-1,M-2,13.37,,,,,,
REZ2020-00022,74389,,"HUNTER PROPERTY REZONING - THIS IS A REQUEST TO REZONE APPROXIMATELY 196.28 ACRES FROM A-1, AGRICULTURAL, TO M-2, LIGHT INDUSTRIAL, TO ALLOW FOR FLEX INDUSTRIAL AND/OR DATA CENTER USES. THE PROPERTY IS LOCATED ON THE NORTH SIDE OF LINTON HALL ROAD AND IS .65 MILES SOUTHEAST FROM THE LINTON HALL AND LIMESTONE DRIVE INTERSECTION. THE PROPERTY IS IDENTIFIED ON COUNTY MAPS AS GPINS: 7496-17-5917, 7496-25-7319 AND 7496-43-8199. THE SITE IS ZONED A-1, AGRICULTURAL, AND IS DESIGNATED FEC, FLEXIBLE EMPLOYMENT CENTER, SRL, SUBURBAN RESIDENTIAL LOW AND ER, ENVIRONMENTAL RESOURCE, IN THE COMPREHENSIVE PLAN. THE PROPERTY IS LOCATED IN THE DATA CENTER OPPORTUNITY OVERLAY DISTRICT, AND AIRPORT SAFETY OVERLAY DISTRICT.  BRENTSVILLE MAGISTERIAL DISTRICT.",A-1,M-2,196.28,,,,,,
REZ2020-00023,,,"PRIMELAND - THIS IS A REQUEST TO AMEND THE PROFFERS PURSUANT TO #REZ1989-0074 TO EXPAND THE PERMITTED USES TO ALLOW FOR A MIXED-USE DEVELOPMENT INCLUDING 16 MULTI-FAMILY UNITS.  THE 2.53-ACRE SITE IS LOCATED 131-FEET SOUTHEAST OF THE INTERSECTION OF PRINCE WILLIAM PARKWAY AND HOFFMAN DR., AND 1067-FEET NORTHWEST OF PRINCE WILLIAM PARKWAY AND ELM FARM DRIVE.  THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPIN 8192-76-5856; IS ZONED B-1, GENERAL BUSINESS; AND IS DESIGNATED SN, SUBURBAN NEIGHBORHOOD, IN THE COMPREHENSIVE PLAN. THE PROPERTY ALSO FALLS WITHIN PRINCE WILLIAM PARKWAY HIGHWAY CORRIDOR OVERLAY DISTRICT, AND IS LOCATED WITHIN THE PARKWAY NODE OF THE DALE CITY SMALL AREA PLAN. NEABSCO MAGISTERIAL DISTRICT.",B-1,B-1,2.53,,,16,,,
